titleprefix,title,subtitle,series,Edition,edition,Add,ean,Pubdate,Media,format,Author 1,Author Rol,Author 2,Author Rol,Author 3,Author Rol,Author 4,Author Rol,Publisher,imprint,US Pric,Can Pr,UK Pri,BISAC Co,BISAC Co,BISAC Co,bisacst,Product ,Trim Siz,Spine ,Bookw,Pagec,Carton ,Age,Grade R,Lang,audien,Insert,Barcod,Description,Brief Description,Author_Bio,keyword1,keyword2,keyword3
,Buildings & Landscapes 21.2,Journal of the Vernacular Architecture Forum,Buildings and Landscapes,,,,978-0-8166-9604-8,12/15/2014  12:00:00 AM,Book,Paper,"Gutman, Marta",Author,"Falk, Cynthia G",Author,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,37.50,,31.00,,,,Active,Available,8 1/2 x 11,1,,144,,,,English,,81 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,NAIS 1.2,Native American and Indigenous Studies (Fall 2014),,,,,978-0-8166-9606-2,12/15/2014  12:00:00 AM,Book,Paper,"Warrior, Robert",Editor,"O'Brien, Jean M",Editor,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,,,,Out of Print Cancel,,7 x 10,1,,152,,,,English,,10 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,Future Anterior 11.1,"Journal of Historic Preservation History, Theory and Criticism (Summer 2014)",Future Anterior,,,,978-0-8166-9616-1,12/15/2014  12:00:00 AM,Book,Paper,"Otero-Pailos, Jorge",Author,"Bergera, Iñaki",Author,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,20.00,,14.99,,,,Active,Available,6 1/2 x 9,1,,128,,,,English,,48 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,Future Anterior 11.2,"Journal of Historic Preservation History, Theory and Criticism (Winter 2014)",Future Anterior,,,,978-0-8166-9746-5,1/30/2015  12:00:00 AM,Book,Paper,"Otero-Pailos, Jorge",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,20.00,,14.99,,,,Out of Print Cancel,,6 1/2 x 9,1,,120,64,,,English,,28 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,No Speed Limit,Three Essays on Accelerationism,Forerunners: Ideas First,,,,978-0-8166-9767-0,1/30/2015  12:00:00 AM,Book,Paperback,"Shaviro, Steven",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,10.00,,7.99,PHILOSOPHY/Criticism,,,Active,Available,5 x 7,1,,60,,,,English,,,EAN13+5/on Cover 2,Accelerationism is the bastard offspr,,Steven Shaviro is DeRoy Professor ,,,
,Verge 1.1,Studies in Global Asias,,,,,978-0-8166-9704-5,3/1/2015  12:00:00 AM,Book,Paperback,"Hayot, Eric",Editor,"Chen, Tina",Editor,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,17.50,,12.99,SOCIAL SCIENCE/Ethnic Studies/American/Asian American Studies,,,Out of Print Cancel,,6 x 9,1,,272,34,,,English,,30 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,NAIS 2.1,,,,,,978-0-8166-9782-3,5/22/2015  12:00:00 AM,Book,Paper,"O'Brien, Jean M",Editor,"Warrior, Robert",Editor,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,25.00,,18.99,,,,Out of Print Cancel,,7 x 10,1,,200,40,,,English,,8 B&W illustrations,EAN13+5/on Cover 2,,,,,,
,Deep Mapping the Media City,,Forerunners: Ideas First,,,,978-0-8166-9851-6,3/11/2015  12:00:00 AM,Book,Paperback,"Mattern, Shannon",Author,,,,,,,Univ Of Minnesota Press,Univ Of Minnesota Press,10.00,,7.99,SOCIAL SCIENCE/Media Studies,,,Active,Available,5 x 7,1,,70,,,,English,,28 b&w illustrations,EAN13+5/on Cover 2,Going beyond current scholarship on ,,Shannon Mattern is associate profes,,,
 Fello",,,
